;;
885;2020-06-04 00:00:00;34338
886;2020-06-05 00:00:00;35187
887;2020-06-06 00:00:00;20251
888;2020-06-07 00:00:00;21608
889;2020-06-08 00:00:00;33322
890;2020-06-09 00:00:00;32815
891;2020-06-10 00:00:00;33795
892;2020-06-11 00:00:00;36443
893;2020-06-12 00:00:00;21098
894;2020-06-13 00:00:00;20115
895;2020-06-14 00:00:00;20319
896;2020-06-15 00:00:00;31198
897;2020-06-16 00:00:00;23566
898;2020-06-17 00:00:00;30919
899;2020-06-18 00:00:00;32775
900;2020-06-19 00:00:00;32045
901;2020-06-20 00:00:00;20539
902;2020-06-21 00:00:00;20577
903;2020-06-22 00:00:00;31979
904;2020-06-23 00:00:00;32317
905;2020-06-24 00:00:00;32430
906;2020-06-25 00:00:00;35783
907;2020-06-26 00:00:00;34641
908;2020-06-27 00:00:00;22620
909;2020-06-28 00:00:00;23462
910;2020-06-29 00:00:00;34339
911;2020-06-30 00:00:00;28012
